LDU,Encrypted_LDU,tally,winner,N_repeat
9X1,1437,1,1,5
9X1,106,1,1,5
9X1,946,1,1,5
9X1,944,1,1,5
9X1,1302,1,1,5
2O4,1098,1,1,3
2O4,2194,1,1,3
2O4,114,1,1,3
128,2026,1,1,2
128,1884,1,1,2
1F0,804,1,1,2
1F0,1124,1,1,2
1O1,2560,1,1,2
1O1,1204,1,1,2
1RS,575,1,1,2
1RS,849,1,1,2
2CA,190,1,1,2
2CA,114,1,1,2
2D8,2394,1,1,2
2D8,2134,1,1,2
2I6,595,1,1,2
2I6,1948,1,1,2
2O2,623,1,1,2
2O2,347,1,1,2
2PS,2229,1,1,2
2PS,2483,1,1,2
2SS,2555,1,1,2
2SS,301,1,1,2
3D8,1986,1,1,2
3D8,1244,1,1,2
3F8,1105,1,1,2
3F8,975,1,1,2
3KY,2579,1,1,2
3KY,113,1,1,2
3O1,274,1,1,2
3O1,1754,1,1,2
3O2,1898,1,1,2
3O2,342,1,1,2
3O6,1152,1,1,2
3O6,113,1,1,2
5I4,1943,1,1,2
5I4,2268,1,1,2
5M0,12,1,1,2
5M0,1484,1,1,2
7CS,298,1,1,2
7CS,1020,1,1,2
7K0,2532,1,1,2
7K0,23,1,1,2
7Y0,1068,1,1,2
7Y0,1073,1,1,2
7Z0,2561,1,1,2
7Z0,1916,1,1,2
8L0,722,1,1,2
8L0,1333,1,1,2
9Q5,2532,1,1,2
9Q5,2527,1,1,2
9X9,1574,1,1,2
9X9,138,1,1,2
 1A,1734,1,1,1
 4H,1674,1,1,1
-1B,1269,1,1,1
-4V,294,1,1,1
-5C,1195,1,1,1
055,1876,1,1,1
05A,1710,1,1,1
07K,1079,1,1,1
095,1960,1,1,1
0A0,2421,170,170,1
0A1,431,572,572,1
0A2,2257,576,576,1
0A3,2190,538,538,1
0A4,2457,521,521,1
0A5,630,489,489,1
0A6,1668,415,415,1
0A7,2423,394,394,1
0A8,1122,357,357,1
0A9,2244,334,334,1
0AS,630,1,1,1
0AZ,2257,1,1,1
0B0,1180,161,161,1
0B1,19,338,338,1
0B2,1610,379,379,1
0B3,920,275,275,1
0B4,2332,338,338,1
0B5,1845,268,268,1
0B6,112,259,259,1
0B7,2523,223,223,1
0B8,1630,268,268,1
0B9,2510,287,287,1
0C0,2291,254,254,1
0C1,896,232,232,1
0C2,2546,258,258,1
0C3,1387,272,272,1
0C4,2413,222,222,1
0C5,291,247,247,1
0C6,660,213,213,1
0C7,275,215,215,1
0C8,2041,212,212,1
0C9,1836,179,179,1
0CP,1144,1,1,1
0E0,470,177,177,1
0E1,1117,200,200,1
0E2,925,172,172,1
0E3,1393,172,172,1
0E4,1406,168,168,1
0E5,1103,179,179,1
0E6,1161,178,178,1
0E7,1245,201,201,1
0E8,2313,152,152,1
0E9,442,136,136,1
0F5,1530,1,1,1
0G0,1330,163,163,1
0G1,256,151,151,1
0G2,1580,126,126,1
0G3,1569,138,138,1
0G4,618,127,127,1
0G5,1960,144,144,1
0G6,85,141,141,1
0G7,1054,126,126,1
0G8,1719,151,151,1
0G9,649,131,131,1
0GS,1960,1,1,1
0H0,756,234,234,1
0H1,839,142,142,1
0H2,1414,128,128,1
0H3,1083,108,108,1
0H4,683,129,129,1
0H5,2545,120,120,1
0H6,964,103,103,1
0H7,1361,100,100,1
0H8,1979,122,122,1
0H9,689,130,130,1
0I2,2100,1,1,1
0I6,1161,1,1,1
0J0,2509,305,305,1
0J1,1956,109,109,1
0J2,696,122,122,1
0J3,1043,117,117,1
0J4,1993,88,88,1
0J5,1802,104,104,1
0J6,1087,99,99,1
0J7,2491,109,109,1
0J8,1220,99,99,1
0J9,1315,113,113,1
0K0,772,199,199,1
0K1,125,91,91,1
0K2,1881,96,96,1
0K3,626,87,87,1
0K4,1801,92,92,1
0K5,1608,86,86,1
0K6,2184,80,80,1
0K7,1079,77,77,1
0K8,2331,97,97,1
0K9,1724,64,64,1
0L0,182,155,155,1
0L1,25,80,80,1
0L2,1089,123,123,1
0L3,766,83,83,1
0L4,1325,59,59,1
0L5,1277,92,92,1
0L6,2336,77,77,1
0L7,1427,69,69,1
0L8,2506,91,91,1
0L9,2047,98,98,1
0LO,182,2,2,1
0M0,694,203,203,1
0M1,191,81,81,1
0M2,2000,65,65,1
0M3,2356,105,105,1
0M4,1214,76,76,1
0M5,709,87,87,1
0M6,151,80,80,1
0M7,2559,85,85,1
0M8,308,76,76,1
0M9,2452,58,58,1
0N0,523,155,155,1
0N1,1800,81,81,1
0N2,1936,70,70,1
0N3,82,58,58,1
0N4,634,65,65,1
0N5,805,78,78,1
0N6,2481,83,83,1
0N7,1380,64,64,1
0N8,1328,60,60,1
0N9,2512,78,78,1
0NW,683,1,1,1
0O0,1321,1,1,1
0O3,1569,1,1,1
0O7,1054,1,1,1
0O8,787,1,1,1
0P0,1321,124,124,1
0P1,2428,59,59,1
0P2,2240,72,72,1
0P3,980,54,54,1
0P4,1284,71,71,1
0P5,1008,62,62,1
0P6,2290,63,63,1
0P7,211,67,67,1
0P8,787,84,84,1
0P9,348,72,72,1
0R0,1715,116,116,1
0R1,492,71,71,1
0R2,555,61,61,1
0R3,264,61,61,1
0R4,826,58,58,1
0R5,2080,66,66,1
0R6,1838,82,82,1
0R7,252,74,74,1
0R8,567,90,90,1
0R9,2385,58,58,1
0S0,1684,162,162,1
0S1,1236,75,75,1
0S2,1716,56,56,1
0S3,2570,63,63,1
0S4,2095,48,48,1
0S5,1876,63,63,1
0S6,1348,59,59,1
0S7,2459,60,60,1
0S8,1710,47,47,1
0S9,469,52,52,1
0T0,2252,194,194,1
0T1,620,44,44,1
0T2,778,58,58,1
0T3,1534,56,56,1
0T4,2048,43,43,1
0T5,1530,56,56,1
0T6,1932,69,69,1
0T7,918,52,52,1
0T8,2505,53,53,1
0T9,2226,48,48,1
0U5,2593,1,1,1
0U7,469,1,1,1
0V0,1401,191,191,1
0V1,2054,44,44,1
0V2,2439,45,45,1
0V3,2379,58,58,1
0V4,562,60,60,1
0V5,2593,47,47,1
0V6,1502,51,51,1
0V7,1442,24,24,1
0V8,2201,41,41,1
0V9,1168,41,41,1
0W0,2520,182,182,1
0W1,22,63,63,1
0W2,1370,55,55,1
0W3,1227,47,47,1
0W4,1143,65,65,1
0W5,2539,80,80,1
0W6,764,82,82,1
0W7,316,65,65,1
0W8,17,31,31,1
0W9,1438,42,42,1
0X0,604,165,165,1
0X1,849,59,59,1
0X2,86,65,65,1
0X3,2293,38,38,1
0X4,1308,43,43,1
0X5,1413,46,46,1
0X6,1594,72,72,1
0X7,2357,46,46,1
0X8,1736,45,45,1
0X9,650,52,52,1
0Y0,1926,268,268,1
0Y1,2013,46,46,1
0Y2,432,75,75,1
0Y3,1567,58,58,1
0Y4,1764,41,41,1
0Y5,892,36,36,1
0Y6,1316,62,62,1
0Y7,666,56,56,1
0Y8,629,46,46,1
0Y9,862,65,65,1
0Z0,443,120,120,1
0Z1,857,87,87,1
0Z2,396,59,59,1
0Z3,1913,62,62,1
0Z4,45,67,67,1
0Z5,989,49,49,1
0Z6,1786,60,60,1
0Z7,1541,44,44,1
0Z8,1955,82,82,1
0Z9,534,51,51,1
109,157,1,1,1
151,1931,1,1,1
156,702,1,1,1
15R,575,1,1,1
164,2529,1,1,1
16T,721,1,1,1
181,858,1,1,1
194,2398,1,1,1
195,1809,1,1,1
1A0,129,2942,2942,1
1A1,1659,688,688,1
1A2,1063,704,704,1
1A3,276,687,687,1
1A4,1734,672,672,1
1A5,1209,633,633,1
1A6,1113,727,727,1
1A7,2445,668,668,1
1A8,577,741,741,1
1A9,1925,684,684,1
1AS,1209,1,1,1
1B0,1783,2416,2416,1
1B1,858,782,782,1
1B2,2580,894,894,1
1B3,410,698,698,1
1B4,1252,777,777,1
1B5,2373,690,690,1
1B6,1946,721,721,1
1B7,911,729,729,1
1B8,833,785,785,1
1B9,1470,582,582,1
1BO,1783,1,1,1
1C0,1558,2417,2417,1
1C1,2340,599,599,1
1C2,1603,609,609,1
1C3,733,559,559,1
1C4,46,734,734,1
1C5,2083,618,618,1
1C6,1897,599,599,1
1C7,2337,687,687,1
1C8,2456,599,599,1
1C9,1851,646,646,1
1CO,1558,1,1,1
1D0,712,1,1,1
1D2,1063,1,1,1
1D6,2083,1,1,1
1D7,558,1,1,1
1E0,1124,2637,2637,1
1E1,217,673,673,1
1E2,147,631,631,1
1E3,390,625,625,1
1E4,1973,608,608,1
1E5,1578,683,683,1
1E6,1860,691,691,1
1E7,1549,654,654,1
1E8,1080,740,740,1
1E9,434,563,563,1
1EA,1973,2,2,1
1EO,1124,1,1,1
1EZ,147,1,1,1
1F4,2398,1,1,1
1F9,434,1,1,1
1G0,977,2093,2093,1
1G1,2560,671,671,1
1G2,2011,784,784,1
1G3,593,699,699,1
1G4,2529,693,693,1
1G5,963,696,696,1
1G6,2547,719,719,1
1G7,2403,695,695,1
1G8,1701,682,682,1
1G9,2002,612,612,1
1H0,2119,2859,2859,1
1H1,1421,664,664,1
1H2,2390,613,613,1
1H3,1886,618,618,1
1H4,1390,534,534,1
1H5,2216,691,691,1
1H6,945,653,653,1
1H7,2245,615,615,1
1H8,1722,629,629,1
1H9,364,676,676,1
1HA,2407,1,1,1
1J0,2516,1968,1968,1
1J1,1318,624,624,1
1J2,1199,590,590,1
